n,cogram_point
361,628.465839842278
362,629.829825614859
363,631.193170589803
364,632.555877050573
365,633.917947266117
366,635.279383490996
367,636.640187965523
368,638.000362915881
369,639.35991055426
370,640.718833078978
371,642.077132674609
372,643.434811512102
373,644.791871748907
374,646.148315529091
375,647.504144983464
376,648.859362229686
377,650.213969372395
378,651.567968503312
379,652.92136170136
380,654.274151032775
381,655.626338551217
382,656.977926297879
383,658.328916301598
384,659.679310578957
385,661.029111134398
386,662.378319960321
387,663.72693903719
388,665.074970333637
389,666.42241580656
390,667.769277401226
391,669.115557051369
392,670.461256679289
393,671.806378195947
394,673.150923501062
395,674.494894483207
396,675.838293019901
397,677.181120977702
398,678.5233802123
399,679.865072568606
400,681.206199880844
401,682.546763972636
402,683.886766657096
403,685.226209736909
404,686.565095004425
405,687.903424241738
406,689.241199220772
407,690.578421703366
408,691.915093441353
409,693.251216176646
410,694.586791641313
411,695.921821557662
412,697.256307638316
413,698.590251586293
414,699.923655095084
415,701.256519848728
416,702.588847521886
417,703.920639779921
418,705.251898278968
419,706.582624666006
420,707.912820578937
421,709.242487646651
422,710.5716274891
423,711.900241717369
424,713.228331933745
425,714.555899731784
426,715.882946696383
427,717.209474403844
428,718.535484421943
429,719.860978309997
430,721.185957618924
431,722.510423891316
432,723.834378661496
433,725.157823455586
434,726.480759791569
435,727.80318917935
436,729.125113120817
437,730.446533109906
438,731.767450632657
439,733.087867167278
440,734.407784184198
441,735.727203146135
442,737.046125508143
443,738.364552717681
444,739.68248621466
445,740.999927431505
446,742.316877793211
447,743.633338717395
448,744.949311614353
449,746.264797887114
450,747.579798931495
451,748.894316136152
452,750.208350882631
453,751.521904545428
454,752.83497849203
455,754.147574082976
456,755.459692671902
457,756.771335605591
458,758.082504224026
459,759.393199860439
460,760.703423841355
461,762.013177486647
462,763.322462109581
463,764.63127901686
464,765.939629508678
465,767.24751487876
466,768.554936414414
467,769.861895396572
468,771.168393099836
469,772.474430792527
470,773.780009736724
471,775.085131188312
472,776.389796397023
473,777.694006606481
474,778.997763054244
475,780.301066971847
476,781.603919584845
477,782.90632211285
478,784.20827576958
479,785.509781762893
480,786.810841294832
481,788.111455561663
482,789.411625753915
483,790.711353056419
484,792.010638648352
485,793.309483703266
486,794.607889389138
487,795.905856868399
488,797.203387297976
489,798.500481829328
490,799.797141608484
491,801.093367776081
492,802.389161467396
493,803.684523812387
494,804.979455935727
495,806.273958956839
496,807.568033989929
497,808.861682144027
498,810.154904523016
499,811.447702225669
500,812.740076345681
501,814.032027971706
502,815.323558187385
503,816.614668071386
504,817.905358697431
505,819.19563113433
506,820.485486446016
507,821.774925691575
508,823.063949925275
509,824.352560196603
510,825.640757550291
511,826.928543026351
512,828.215917660103
513,829.502882482207
514,830.789438518691
515,832.075586790982
516,833.361328315938
517,834.646664105874
518,835.931595168592
519,837.21612250741
520,838.500247121192
521,839.783970004374
522,841.067292146996
523,842.350214534725
524,843.632738148885
525,844.914863966486
526,846.19659296025
527,847.477926098636
528,848.758864345871
529,850.039408661973
530,851.319560002779
531,852.59931931997
532,853.8786875611
533,855.157665669618
534,856.436254584894
535,857.714455242247
536,858.992268572968
537,860.269695504347
538,861.546736959692
539,862.823393858362
540,864.099667115783
541,865.375557643481
542,866.651066349096
543,867.926194136413
544,869.200941905383
545,870.475310552148
546,871.74930096906
547,873.022914044708
548,874.296150663942
549,875.569011707889
550,876.841498053983
551,878.113610575983
552,879.385350143995
553,880.656717624496
554,881.927713880355
555,883.198339770853
556,884.468596151708
557,885.738483875092
558,887.008003789655
559,888.277156740545
560,889.545943569428
561,890.81436511451
562,892.082422210558
563,893.350115688917
564,894.617446377534
565,895.884415100974
566,897.151022680445
567,898.417269933813
568,899.683157675622
569,900.948686717118
570,902.213857866262
571,903.478671927753
572,904.743129703045
573,906.007231990369
574,907.270979584746
575,908.534373278012
576,909.797413858831
577,911.060102112715
578,912.322438822045
579,913.584424766086
580,914.846060721002
581,916.107347459881
582,917.368285752747
583,918.628876366578
584,919.889120065327
585,921.149017609933
586,922.408569758345
587,923.667777265533
588,924.926640883508
589,926.185161361338
590,927.443339445165
591,928.70117587822
592,929.958671400841
593,931.215826750487
594,932.472642661758
595,933.729119866406
596,934.985259093355
597,936.241061068714
598,937.496526515794
599,938.751656155123
600,940.006450704462
601,941.260910878819
602,942.515037390466
603,943.768830948953
604,945.022292261121
605,946.275422031121
606,947.528220960425
607,948.780689747845
608,950.032829089542
609,951.284639679043
610,952.536122207257
611,953.787277362487
612,955.038105830446
613,956.288608294267
614,957.538785434523
615,958.788637929236
616,960.038166453892
617,961.287371681456
618,962.536254282383
619,963.784814924635
620,965.03305427369
621,966.280972992559
622,967.528571741799
623,968.775851179521
624,970.02281196141
625,971.269454740733
626,972.515780168355
627,973.761788892748
628,975.007481560007
629,976.252858813862
630,977.497921295689
631,978.742669644523
632,979.98710449707
633,981.231226487721
634,982.475036248561
635,983.718534409385
636,984.961721597706
637,986.204598438769
638,987.447165555562
639,988.689423568829
640,989.931373097081
641,991.173014756605
642,992.41434916148
643,993.655376923586
644,994.896098652614
645,996.13651495608
646,997.376626439335
647,998.616433705575
648,999.855937355853
649,1001.09513798909
650,1002.33403620209
651,1003.57263258954
652,1004.81092774403
653,1006.04892225606
654,1007.28661671406
655,1008.52401170437
656,1009.7611078113
657,1010.99790561711
658,1012.23440570199
659,1013.47060864414
660,1014.70651501973
661,1015.94212540292
662,1017.17744036589
663,1018.41246047882
664,1019.6471863099
665,1020.88161842539
666,1022.11575738956
667,1023.34960376476
668,1024.58315811137
669,1025.81642098788
670,1027.04939295083
671,1028.28207455487
672,1029.51446635275
673,1030.74656889532
674,1031.97838273155
675,1033.20990840855
676,1034.44114647156
677,1035.67209746398
678,1036.90276192733
679,1038.13314040134
680,1039.36323342389
681,1040.59304153104
682,1041.82256525705
683,1043.05180513438
684,1044.2807616937
685,1045.50943546389
686,1046.73782697206
687,1047.96593674357
688,1049.19376530199
689,1050.42131316918
690,1051.64858086524
691,1052.87556890853
692,1054.10227781571
693,1055.3287081017
694,1056.55486027974
695,1057.78073486136
696,1059.00633235638
697,1060.23165327298
698,1061.45669811762
699,1062.68146739512
700,1063.90596160864
701,1065.13018125969
702,1066.35412684812
703,1067.57779887217
704,1068.80119782843
705,1070.02432421188
706,1071.24717851589
707,1072.46976123223
708,1073.69207285106
709,1074.91411386096
710,1076.13588474891
711,1077.35738600035
712,1078.57861809911
713,1079.7995815275
714,1081.02027676625
715,1082.24070429454
716,1083.46086459004
717,1084.68075812887
718,1085.90038538562
719,1087.11974683338
720,1088.33884294371
721,1089.55767418667
722,1090.77624103084
723,1091.99454394329
724,1093.21258338963
725,1094.43035983397
726,1095.64787373895
727,1096.86512556578
728,1098.08211577417
729,1099.29884482241
730,1100.51531316734
731,1101.73152126436
732,1102.94746956744
733,1104.16315852913
734,1105.37858860057
735,1106.59376023146
736,1107.80867387014
737,1109.02332996351
738,1110.2377289571
739,1111.45187129506
740,1112.66575742015
741,1113.87938777375
742,1115.09276279588
743,1116.30588292521
744,1117.51874859905
745,1118.73136025334
746,1119.9437183227
747,1121.15582324042
748,1122.36767543843
749,1123.57927534735
750,1124.7906233965
751,1126.00172001385
752,1127.21256562608
753,1128.42316065858
754,1129.63350553543
755,1130.84360067942
756,1132.05344651205
757,1133.26304345355
758,1134.47239192288
759,1135.68149233772
760,1136.8903451145
761,1138.09895066838
762,1139.30730941327
763,1140.51542176185
764,1141.72328812554
765,1142.93090891453
766,1144.13828453779
767,1145.34541540305
768,1146.55230191683
769,1147.75894448444
770,1148.96534350996
771,1150.17149939628
772,1151.37741254511
773,1152.58308335694
774,1153.78851223107
775,1154.99369956563
776,1156.19864575758
777,1157.40335120268
778,1158.60781629554
779,1159.81204142961
780,1161.01602699716
781,1162.21977338934
782,1163.42328099612
783,1164.62655020634
784,1165.8295814077
785,1167.03237498676
786,1168.23493132897
787,1169.43725081863
788,1170.63933383894
789,1171.84118077196
790,1173.04279199868
791,1174.24416789894
792,1175.4453088515
793,1176.64621523404
794,1177.84688742311
795,1179.0473257942
796,1180.24753072171
797,1181.44750257895
798,1182.64724173819
799,1183.84674857058
800,1185.04602344626
801,1186.24506673425
802,1187.44387880257
803,1188.64246001815
804,1189.84081074689
805,1191.03893135364
806,1192.23682220221
807,1193.43448365537
808,1194.63191607488
809,1195.82911982146
810,1197.0260952548
811,1198.22284273359
812,1199.41936261548
813,1200.61565525714
814,1201.81172101421
815,1203.00756024135
816,1204.20317329221
817,1205.39856051944
818,1206.59372227471
819,1207.7886589087
820,1208.98337077113
821,1210.1778582107
822,1211.37212157517
823,1212.56616121132
824,1213.75997746497
825,1214.95357068097
