n,gram_point
308,554.490625665539
309,555.892673010642
310,557.293931946709
311,558.694405779655
312,560.094097790718
313,561.493011236714
314,562.891149350305
315,564.28851534025
316,565.68511239166
317,567.080943666248
318,568.476012302576
319,569.870321416292
320,571.26387410038
321,572.656673425384
322,574.048722439652
323,575.440024169556
324,576.830581619728
325,578.220397773276
326,579.609475592009
327,580.997818016654
328,582.385427967072
329,583.772308342465
330,585.158462021593
331,586.543891862973
332,587.92860070509
333,589.31259136659
334,590.695866646486
335,592.07842932435
336,593.460282160508
337,594.841427896227
338,596.221869253909
339,597.601608937275
340,598.980649631547
341,600.35899400363
342,601.736644702291
343,603.113604358338
344,604.489875584791
345,605.865460977056
346,607.240363113096
347,608.614584553595
348,609.98812784213
349,611.360995505329
350,612.733190053036
351,614.104713978471
352,615.475569758386
353,616.845759853221
354,618.215286707258
355,619.584152748777
356,620.952360390198
357,622.319912028237
358,623.686810044049
359,625.053056803373
360,626.418654656674
361,627.783605939289
362,629.147912971561
363,630.511578058978
364,631.874603492312
365,633.236991547752
366,634.598744487037
367,635.959864557588
368,637.320353992634
369,638.680215011349
370,640.03944981897
371,641.398060606927
372,642.756049552967
373,644.113418821274
374,645.470170562592
375,646.826306914343
376,648.18183000075
377,649.536741932946
378,650.891044809096
379,652.244740714508
380,653.597831721749
381,654.950319890752
382,656.30220726893
383,657.653495891284
384,659.004187780511
385,660.354284947111
386,661.703789389491
387,663.052703094071
388,664.401028035386
389,665.748766176188
390,667.095919467547
391,668.442489848952
392,669.788479248407
393,671.133889582531
394,672.478722756651
395,673.822980664903
396,675.16666519032
397,676.509778204929
398,677.852321569843
399,679.194297135351
400,680.535706741009
401,681.876552215731
402,683.216835377871
403,684.55655803532
404,685.895721985584
405,687.234329015874
406,688.572380903189
407,689.909879414401
408,691.246826306334
409,692.583223325853
410,693.919072209936
411,695.254374685762
412,696.589132470788
413,697.923347272824
414,699.257020790114
415,700.590154711414
416,701.922750716065
417,703.25481047407
418,704.586335646168
419,705.917327883907
420,707.247788829719
421,708.577720116991
422,709.907123370134
423,711.236000204659
424,712.564352227242
425,713.892181035798
426,715.219488219544
427,716.54627535907
428,717.872544026409
429,719.198295785097
430,720.523532190245
431,721.848254788599
432,723.172465118608
433,724.496164710488
434,725.819355086283
435,727.142037759929
436,728.464214237316
437,729.785886016347
438,731.107054587003
439,732.4277214314
440,733.747888023851
441,735.06755583092
442,736.386726311486
443,737.7054009168
444,739.023581090539
445,740.341268268864
446,741.658463880477
447,742.975169346679
448,744.291386081418
449,745.607115491351
450,746.922358975894
451,748.237117927276
452,749.551393730593
453,750.865187763858
454,752.178501398057
455,753.491335997197
456,754.803692918358
457,756.115573511743
458,757.426979120731
459,758.737911081921
460,760.048370725186
461,761.358359373721
462,762.667878344087
463,763.976928946263
464,765.285512483693
465,766.593630253329
466,767.901283545684
467,769.208473644869
468,770.515201828649
469,771.821469368478
470,773.12727752955
471,774.432627570843
472,775.737520745158
473,777.04195829917
474,778.345941473463
475,779.649471502579
476,780.952549615057
477,782.255177033476
478,783.557354974496
479,784.8590846489
480,786.160367261633
481,787.461204011844
482,788.761596092926
483,790.061544692555
484,791.361050992729
485,792.660116169807
486,793.958741394551
487,795.256927832159
488,796.554676642304
489,797.851988979176
490,799.148865991515
491,800.445308822647
492,801.741318610527
493,803.036896487767
494,804.332043581677
495,805.626761014302
496,806.921049902451
497,808.214911357739
498,809.508346486617
499,810.80135639041
500,812.093942165347
501,813.386104902597
502,814.677845688306
503,815.969165603622
504,817.260065724737
505,818.550547122914
506,819.840610864519
507,821.130258011057
508,822.419489619202
509,823.708306740828
510,824.996710423041
